experiment,item,object,version,condition,setting,critical,central_word,distinguishing_word,notes,key inference
1,1,-,a,afforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his laptop computer to use to protect himself.,protect,laptop computer,Might be missing content from setting,"laptop heavy, rigid, and can be picked up"
1,1,-,b,nonafforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his paper napkin to use to protect himself.,protect,paper napkin,,"napkin soft, light"
1,1,-,c,related,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his hunting rifle to use to protect himself.,protect,hunting rifle,,function of hunting rifle
1,2,-,a,nonafforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a nickel that she found in her pocket.",pointed out,nickel,,"nickel small, shiny, not linear"
1,2,-,b,afforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a pen that she found in her pocket.",pointed out,pen,,pen linear
1,2,-,c,related,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a string that she found in her pocket.",pointed out,string,,string linear or can curve
1,3,-,a,related,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old magazines that his guests could use as coasters.",coasters,old magazines,,"coasters repel water, magazines absorb water"
1,3,-,b,afforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of floppy disks that his guests could use as coasters.",coasters,floppy disks,,"coasters round, disks round, cups round"
1,3,-,c,nonafforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old pencils that his guests could use as coasters.",coasters,pencils,,"pencils linear, cups round, pencils don't repel water"
1,4,-,a,related,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a ski-mask to cover his face.",face,ski-mask,,"ski-mask function, ski-mask shape"
1,4,-,b,nonafforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a matchbook to cover his face.",face,matchbook,,matchbook size
1,4,-,c,afforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a newspaper to cover his face.",face,newspaper,,"newspaper size, newspaper insulating properties"
1,5,-,a,nonafforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the cookie jar.,hid,cookie jar,,"size cookie jar, size boy"
1,5,-,b,afforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the clothes dryer.,hid,clothes dryer,,"amount of air in clothes dryer, size of clothes dryer"
1,5,-,c,related,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the broom closet.,hid,broom closet,,"places boys hide, size broom closet"
1,6,-,a,afforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a tractor to finish painting the wall.,stand,tractor,,
1,6,-,b,related,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a chair to finish painting the wall.,stand,chair,,
1,6,-,c,nonafforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a hammer to finish painting the wall.,stand,hammer,,
1,7,-,a,afforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a map and used it to fan the fire.,fan,map,,
1,7,-,b,nonafforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a rock and used it to fan the fire.,fan,rock,,
1,7,-,c,related,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a bellows and used it to fan the fire.,fan,bellows,,
1,8,-,a,nonafforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a large refrigerator to play with.,play,large refrigerator,,
1,8,-,b,related,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a red beanbag to play with.,play,red beanbag,,
1,8,-,c,afforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a plastic spoon to play with.,play,plastic spoon,,
1,9,-,a,nonafforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the electric outlet as a coat rack.,coat rack,electric outlet,,
1,9,-,b,afforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the vacuum cleaner as a coat rack.,coat rack,vacuum cleaner,,
1,9,-,c,related,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the door knob as a coat rack.,coat rack,door knob,,
1,10,-,a,related,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a screw driver and used that to chisel an inch of ice off his windshield.,chisel,screw driver,,
1,10,-,b,afforded,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a seven iron and used that to chisel an inch of ice off his windshield.,chisel,seven iron,,
1,10,-,c,nonafforded,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a ham sandwich and used that to chisel an inch of ice off his windshield.,chisel,ham sandwich,,
1,11,-,a,afforded,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her warm thermos to smooth her skirt.,smooth,warm thermos,,
1,11,-,b,related,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her hair dryer to smooth her skirt.,smooth,hair dryer,,
1,11,-,c,nonafforded,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work.",Sarah used her hair pin to smooth her skirt.,smooth,hair pin,,
1,12,-,a,related,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a shower cap to cover his hair.,hair,shower cap,,
1,12,-,b,nonafforded,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a hamburger bun to cover his hair.,hair,hamburger bun,,
1,12,-,c,afforded,"When Aaron got to work at McDonald’s he realized that he forgot his cap at home.   The manager had a strict rule: If your hair isn’t covered, you cannot work.",Aaron used a sandwich wrapper to cover his hair.,hair,sandwich wrapper,,
1,13,-,a,afforded,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with leaves.",pillow,leaves,,
1,13,-,b,nonafforded,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with water.",pillow,water,,
1,13,-,c,related,Marissa forgot to bring her pillow on her camping trip.,"As a substitute for her pillow, she filled up an old sweater with clothes.",pillow,clothes,,
1,14,-,a,related,"After wading barefoot in the lake, Erik needed something to get dry.",He used his towel to dry his feet.,dry,towel,Might be missing content from setting,
1,14,-,b,afforded,"After wading barefoot in the lake, Erik needed something to get dry.",He used his shirt to dry his feet.,dry,shirt,,
1,14,-,c,nonafforded,"After wading barefoot in the lake, Erik needed something to get dry.",He used his glasses to dry his feet.,dry,glasses,,
1,15,-,a,nonafforded,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a bent earring to write the number on.,write,bent earring,,
1,15,-,b,related,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a note pad to write the number on.,write,note pad,,
1,15,-,c,afforded,"While taking a walk, Colleen ran into an old friend that she hadn’t seen in over a year.   They exchanged phone numbers, but Colleen couldn’t find anything in her purse to write the number on.",She looked around and found a popsicle stick to write the number on.,write,popsicle stick,,
1,16,-,a,afforded,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a rolled paper.,push,rolled paper,,
1,16,-,b,related,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a mop handle.,push,mop handle,,
1,16,-,c,nonafforded,Harry accidentally dropped his book behind his bed.  He couldn’t reach it with his hand.,He tried to push it out by using a smelly sock.,push,smelly sock,,
1,17,-,a,related,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found an eraser and some chalk in a cup to use on the blackboard.,blackboard,chalk,,
1,17,-,b,afforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found an eraser and some rice in a cup to use on the blackboard.,blackboard,rice,,
1,17,-,c,nonafforded,"Janet was teaching her class and desperately needed to draw on the blackboard, but as usual, the janitorial staff had forgotten to put fresh supplies in the classroom.",She looked around and found a brush and some water in a cup to use on the blackboard.,blackboard,water,,
1,18,-,a,nonafforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her mailbox to get some privacy.,privacy,her mailbox,,
1,18,-,b,afforded,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into the lavatory to get some privacy.,privacy,the lavatory,,
1,18,-,c,related,"Judy was trying to complete the Xeroxing using the machine in the hallway, but people kept asking her if they could cut in to make a few copies.",She became so frustrated that she moved the Xerox machine into her office to get some privacy.,privacy,her office,,
2,1,1,a,afforded,Susan and Sara were having a water fight in their kitchen.,Susan threw some hot water on Sara's arm and it burned the skin off her arm.,-,hot water,,
2,1,1,b,nonafforded,Susan and Sara were having a water fight in their kitchen.,Susan took a pitcher of hot water and poured it on Sara to cool her off.,-,hot water,,
2,1,2,a,afforded,Susan and Sara were having a water fight in their kitchen.,Susan took a pitcher of cold water and poured it on Sara to cool her off.,-,cold water,,
2,1,2,b,nonafforded,Susan and Sara were having a water fight in their kitchen.,Susan threw some cold water on Sara's arm and it burned the skin of off her arm.,-,cold water,,
2,2,1,a,afforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,"Since she couldn't reach the ceiling, she stuck her broom up in the air to try to get a piece of gum off her ceiling tile.",-,ceiling tile,,
2,2,1,b,nonafforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,She got down on her hands and knees to scrape the beer stains off the ceiling tile.,-,ceiling tile,,
2,2,2,a,afforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,She got down on her hands and knees to scrape the beer stains off the floor tile.,-,floor tile,,
2,2,2,b,nonafforded,Kate was cleaning her kitchen on Sunday morning after a big party she had the night before.,"Since she couldn't reach the ceiling, she stuck her broom up broom uppom up in the air to try to get a piece of gum off her floor tile.",-,floor tile,,
2,3,1,a,afforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She grabbed a teddy bear out of her backpack to cuddle with while she slept.,-,teddy bear,,
2,3,1,b,nonafforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She screamed as she saw a large teddy bear eating their leftover dinner.,-,teddy bear,,
2,3,2,a,afforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She screamed as she saw a large grizzly bear eating their leftover dinner.,-,grizzly bear,,
2,3,2,b,nonafforded,Jenny's family was on a camping trip in the mountains.  Jenny was sleeping in a tent by herself and she started to get a little scared as she drifted off to sleep.,She grabbed a grizzly bear out of her backpack to cuddle with while she slept.,-,grizzly bear,,
2,4,1,a,afforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin plastic sheet to protect his chair from the water.,-,plastic sheet,,
2,4,1,b,nonafforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin plastic sheet to absorb the water that had fallen.,-,plastic sheet,,
2,4,2,a,afforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin cloth sheet to absorb the water that had fallen.,-,cloth sheet,,
2,4,2,b,nonafforded,Bill noticed that there was water dripping from his ceiling.,Bill used a thin cloth sheet to protect his chair from the water.,-,cloth sheet,,
2,5,1,a,afforded,Richard was digging through a box of junk in his basement.,He crushed a ping pong ball in his hand.,-,ping pong ball,,
2,5,1,b,nonafforded,Richard was digging through a box of junk in his basement.,He sunk a ping pong ball in a bucket of water.,-,ping pong ball,,
2,5,2,a,afforded,Richard was digging through a box of junk in his basement.,He sunk a steel ball in a bucket of water.,-,steel ball,,
2,5,2,b,nonafforded,Richard was digging through a box of junk in his basement.,He crushed a steel ball in his haaand.,-,steel ball,,
2,6,1,a,afforded,Henry had just finished skinny dipping in the lake.,He covered up his body with his beach towel.,-,beach towel,,
2,6,1,b,nonafforded,Henry had just finished skinny dipping in the lake.,He pulled out a beach towel from his jeans' pocket.,-,beach towel,,
2,6,2,a,afforded,Henry had just finished skinny dipping in the lake.,He pulled out a hand towel from his jeans' pocket.,-,hand towel,,
2,6,2,b,nonafforded,Henry had just finished skinny dipping in the lake.,He covered up his body with his hand towel.,-,hand towel,,
2,7,1,a,afforded,John was cleaning up his garage.,He put all the old baseballs he found into a garbage can.,-,garbage can,,
2,7,1,b,nonafforded,John was cleaning up his garage.,He found an old garbage can and put it in his glove compartment.,-,garbage can,,
2,7,2,a,afforded,John was cleaning up his garage.,He found an old soda can and put it in his glove compartment.,-,soda can,,
2,7,2,b,nonafforded,John was cleaning up his garage.,He put all the old baseballs he found into a soda can.,-,soda can,,
2,8,1,a,afforded,Janice was sitting in her den.,The ticking of the desk clock was annoying her so she placed it in her drawer.,-,desk clock,,
2,8,1,b,nonafforded,Janice was sitting in her den.,"She wanted to hide a folder from her husband, so she put it inside the desk clock.",-,desk clock,,
2,8,2,a,afforded,Janice was sitting in her den.,The ticking of the grandfather clock was annoying her so she placed it in her drawer.,-,grandfather clock,,
2,8,2,b,nonafforded,Janice was sitting in her den.,"She wanted to hide a folder from her husband, so she put it inside the grandfather clock.",-,grandfather clock,,
2,9,1,a,afforded,Julie needed some extra money to pay bills. ,She decided she would rent out the extra room in her ranch house to college students.,-,ranch house,,
2,9,1,b,nonafforded,Julie needed some extra money to pay bills. ,She decided to throw her ranch house into the backseat of her car and take it to the pawn shop.,-,ranch house,,
2,9,2,a,afforded,Julie needed some extra money to pay bills. ,She decided to throw her doll house into the backseat of her car and take it to the pawn shop.,-,doll house,,
2,9,2,b,nonafforded,Julie needed some extra money to pay bills. ,She decided she would rent out the extra room in her doll house to college students.,-,doll house,,
2,10,1,a,afforded,Brian had many things to do before his father came to see his new apartment.,He picked up his matchbox car and set it on the train set to make it appear more realistic.,-,matchbox car,,
2,10,1,b,nonafforded,Brian had many things to do before his father came to see his new apartment.,He drove his matchbox car to the shopping mall to pick up his roommates.,-,matchbox car,,
2,10,2,a,afforded,Brian had many things to do before his father came to see his new apartment.,He drove his luxury car to the shopping mall to pick up his roommates.,-,luxury car,,
2,10,2,b,nonafforded,Brian had many things to do before his father came to see his new apartment.,He picked up his luxury car and set it on the train set to make it appear more realistic.,-,luxury car,,
2,11,1,a,afforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use his VCR to record his favorite TV show on some video tape.,-,video tape,,
2,11,1,b,nonafforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use some video tape to hold a poster to the wall.,-,video tape,,
2,11,2,a,afforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use some masking tape to hold a poster to the wall. ,-,masking tape,,
2,11,2,b,nonafforded,"John knew that he would not be able to watch all of the movie on TV, and so he considered various options.",He decided to use his VCR to record his favorite TV show on some masking tape.,-,masking tape,,
2,12,1,a,afforded,Jen was testing the characteristics of lake water.,She ice skated on the frozen water.,-,frozen water,,
2,12,1,b,nonafforded,Jen was testing the characteristics of lake water.,She poured the frozen water out of the bottle.,-,frozen water,,
2,12,2,a,afforded,Jen was testing the characteristics of lake water.,She poured the warm water out of the bottle.,-,warm water,,
2,12,2,b,nonafforded,Jen was testing the characteristics of lake water.,She ice skated on the warm water.,-,warm water,,
2,13,1,a,afforded,Amy was shopping for bridesmaid dresses.,She didn't like how shoulder pads looked in long-sleeved dresses.,-,long-sleeved dresses,,
2,13,1,b,nonafforded,Amy was shopping for bridesmaid dresses.,Long-sleeved dresses showed off women's beautifully toned arms.,-,long-sleeved dresses,,
2,13,2,a,afforded,Amy was shopping for bridesmaid dresses.,Strapless dresses showed off women's beautifully toned arms.,-,strapless dresses,,
2,13,2,b,nonafforded,Amy was shopping for bridesmaid dresses.,She didn't like how shoulder pads looked in strapless dresses.,-,strapless dresses,,
2,14,1,a,afforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished toenails by slipping on her socks and shoes.,-,toenails,,
2,14,1,b,nonafforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished toenails by slipping on her gloves.,-,toenails,,
2,14,2,a,afforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished fingernails by slipping on her gloves. ,-,fingernails,,
2,14,2,b,nonafforded,Karen had just finished being pampered at the salon.,She didn't want to cover up her beautifully polished fingernails by slipping on her socks and shoes.,-,fingernails,,
2,15,1,a,afforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him a tissue to absorb his milk mustache.,-,a tissue,,
2,15,1,b,nonafforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him a tissue to trim his milk mustache.,-,a tissue,,
2,15,2,a,afforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him scissors to trim his hairy mustache.,-,scissors,,
2,15,2,b,nonafforded,Richard noticed his girlfriend was staring at him peculiarly.,She handed him scissors to absorb his hairy mustache.,-,scissors,,
2,16,1,a,afforded,Janice was cleaning out her bedroom.,She was sidetracked and ended up inflating her beach ball.,-,beach ball,,
2,16,1,b,nonafforded,Janice was cleaning out her bedroom.,She ended up breaking her foot when she dropped her beach ball on it.,-,beach ball,,
2,16,2,a,afforded,Janice was cleaning out her bedroom.,She ended up breaking her foot when she dropped her bowling ball on it.,-,bowling ball,,
2,16,2,b,nonafforded,Janice was cleaning out her bedroom.,She was sidetracked and ended up inflating her bowling ball.,-,bowling ball,,
2,17,1,a,afforded,Rita rushed off to work in her car.,She was pulled over because her car had a busted taillight.,-,taillight,,
2,17,1,b,nonafforded,Rita rushed off to work in her car.,She was pulled over because she ran a taillight.,-,taillight,,
2,17,2,a,afforded,Rita rushed off to work in her car.,She was pulled over because she ran a stoplight.,-,stoplight,,
2,17,2,b,nonafforded,Rita rushed off to work in her car.,She was pulled over because her car had a busted stoplight.,-,stoplight,,